Customer_ID,Customer_Name,Customer_Phone,Customer_Addresss,Customer_Brithday,Customer_Occupation,Customer_Gender
11213,Stephanie M,293-535-015*,5514 Grant Street,24/05/1953,Researcher,M  
11214,Charles M,389-535-011*,2719 Little Dr,10/11/1953,Researcher,F  
11215,Ana P,446-535-013*,3114 Arlington Way,13/06/1954,Researcher,M  
11216,Jasmine T,939-535-013*,8328 San Francisco,10/05/1954,Researcher,F  
11217,Natalie A,300-535-015*,6592 Bent Tree Lane,23/02/1954,Researcher,F  
11218,Olivia B,414-535-014*,3964 Stony Hill Circle,23/09/1954,Researcher,M  
11219,Charles C,755-535-011*,6871 Bel Air Dr.,11/12/1954,Researcher,F  
11250,Shannon L,1 (11) 543 535-011*,4185 Keywood Ct.,21/03/1959,Manager,F  
11251,Xavier L,243-535-011*,9245 Dantley Way,14/07/1936,Retiree,M  
11252,Nicholas T,377-535-014*,504 O St.,10/06/1936,Retiree,M  
11253,Jose H,712-535-013*,5703 Donald Dr.,18/02/1937,Retiree,M  
11254,Johnathan V,494-535-016*,9430 Versailles Pl,13/03/1937,Retiree,M  
11255,Colin L,599-535-013*,6083 San Jose,14/04/1937,Retiree,F  
11256,Katelyn H,249-535-011*,7496 Deerfield Dr.,10/09/1937,Retiree,M  
11257,Jacqueline P,796-535-011*,4076 Northwood Dr,16/01/1937,Retiree,F  
11258,Xavier H,559-535-014*,2707 Virgil Street,18/06/1937,Retiree,F  
11259,Victoria S,230-535-013*,3623 Barquentine Court,10/03/1969,Manager,M  
11310,Erin S,233-535-016*,7541 Black Point Pl,19/07/1957,Manager,M  
11311,Gabrielle L,783-535-017*,8619 Parkside Dr.,14/08/1957,Manager,F  
11312,Sara R,296-535-017*,7375 Kipling Court,13/04/1957,Manager,M  
11313,Trevor J,120-535-012*,4697 Yosemite Dr.,10/02/1957,Manager,F  
11314,Mya F,522-535-014*,8439 Rio Grande Drive,13/12/1957,Manager,F  
11315,Hailey W,767-535-015*,6321 Maya,13/10/1957,Manager,F  
11316,Luke A,786-535-013*,419 Deermeadow Way,20/11/1957,Manager,F  
11317,Victoria R,663-535-019*,9268 Keller Ridge,20/09/1956,Manager,M  
11318,Jessica W,702-535-018*,1652 Willcrest Circle,16/10/1956,Manager,M  
11319,Jade B,819-535-016*,8119 Northridge Ct,10/04/1941,Retiree,F  
11350,Cara Z,1 (11) 543 535-011*,7280 Greendell Pl,24/01/1941,Retiree,M  
11351,Anne R,1 (11) 543 535-014*,7113 Eastgate Ave.,16/04/1943,Retiree,M  
11352,Raymond R,1 (11) 543 535-013*,"24, impasse Ste-Madeleine",10/03/1944,Retiree,F  
11353,Carrie O,1 (11) 543 535-011*,1883 Cowell Rd.,23/06/1945,Retiree,M  
11354,Deanna S,1 (11) 543 535-014*,Dunckerstr 22525,13/02/1946,Manager,M  
11355,Roberto G,1 (11) 543 535-012*,3545 Chickpea Ct.,18/12/1946,Manager,M  
11356,Terrence C,1 (11) 543 535-018*,6613 Thornhill Place,10/05/1984,Manager,F  
11357,Ramon Y,1 (11) 543 535-014*,3245 Vista Oak Dr.,13/03/1983,Manager,M  
11358,Cynthia M,1 (11) 543 535-018*,6757 Pamplona Ct.,23/11/1982,Manager,F  
11359,Jarrod P,1 (11) 543 535-015*,7657 H St.,14/09/1982,Manager,M  
11410,Maurice G,1 (11) 543 535-017*,"15, avenue de la Gare",15/08/1972,Manager,M  
11411,Devin R,1 (11) 543 535-017*,Postenweg 2428,21/02/1958,Manager,M  
11412,Sydney B,1 (11) 543 535-015*,Postfach 99 92 92,19/04/1958,Manager,M  
11413,Megan S,1 (11) 543 535-011*,8192 Seagull Court,25/04/1958,Manager,F  
11414,Ian R,1 (11) 543 535-011*,726 W. Buchanan Rd.,28/03/1958,Manager,M  
11415,Randy S,1 (11) 543 535-014*,Ro?str 5538,15/06/1948,Manager,M  
11416,Katrina B,1 (11) 543 535-015*,"8205, rue Malar",29/03/1949,Manager,F  
11417,Lacey Z,1 (11) 543 535-017*,"4, rue de Linois",16/02/1949,Manager,F  
11418,Rafael H,1 (11) 543 535-015*,Zeiter Weg 7765,19/02/1949,Manager,M  
11419,Kyle S,1 (11) 543 535-017*,9381 Alpine Rd.,28/02/1949,Manager,M  
11459,Tasha D,1 (11) 543 535-017*,9627 Kendall Rd,23/10/1976,Nurse,M  
11510,Seth R,199-535-014*,5989 Concord Ave,23/07/1957,Nurse,M  
11511,Caleb P,786-535-013*,2324 Cherry Street,24/06/1957,Nurse,F  
11512,Natalie C,178-535-014*,3481 Broadmoor Drive,23/08/1958,Nurse,M  
11513,Alyssa H,805-535-018*,5780 Conifer Terrace,10/09/1958,Nurse,M  
11514,Dalton D,994-535-015*,8033 Danesta Dr.,10/04/1958,Nurse,F  
11515,Shannon H,458-535-011*,4679 Duke Way,15/02/1958,Nurse,F  
11516,Mya G,211-535-011*,8826 Fine Drive,13/10/1958,Nurse,F  
11517,Katherine B,802-535-013*,8761 Dancing Court,10/06/1958,Nurse,F  
11518,Edward W,446-535-017*,2747 Carmel Dr.,20/05/1959,Nurse,F  
11519,Jerome N,934-535-019*,9537 Ridgewood Drive,20/03/1959,Nurse,M  
11535,Alexandria H,1 (11) 543 535-018*,"11, rue de la Cavalerie",18/07/1930,Retiree,M  
11550,Deb T,1 (11) 543 535-012*,7553 Harness Circle,18/08/1972,Nurse,M  
11551,Shannon A,1 (11) 543 535-015*,"268, avenue de l?Europe",15/05/1971,Nurse,F  
11552,Eddie R,1 (11) 543 535-015*,Heiderplatz 662,10/05/1971,Nurse,M  
11553,Sharon L,1 (11) 543 535-011*,6804 Coldwater Drive,19/09/1971,Nurse,F  
11554,Sydney S,1 (11) 543 535-019*,"88, avenue de l? Union Centrale",18/09/1930,Retiree,F  
11556,Lucas E,1 (11) 543 535-015*,3663 A St.,24/05/1971,Nurse,M  
11557,Felicia R,1 (11) 543 535-019*,9557 Steven Circle,25/01/1971,Nurse,M  
11558,Ivan M,1 (11) 543 535-019*,5086 Nottingham Place,11/08/1971,Nurse,M  
11559,Frederick S,1 (11) 543 535-011*,Rotth?user Weg 636,26/12/1971,Nurse,M  
